Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Quartile Number,Suppression Flag
Private Health Insurance Coverage,By State,New Jersey,New Jersey,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,85.6,82.1,88.7,82.1 - 88.7,82.2-88.7,4,
Private Health Insurance Coverage,By State,New Mexico,New Mexico,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,65.3,59.7,70.7,59.7 - 70.7,64.7-73.7,1,
Private Health Insurance Coverage,By State,New York,New York,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,80.4,76.5,83.8,76.5 - 83.8,77.3-82.1,3,
Private Health Insurance Coverage,By State,North Carolina,North Carolina,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,74.8,68.6,80.3,68.6 - 80.3,73.8-77.2,2,
Private Health Insurance Coverage,By State,North Dakota,North Dakota,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,88.7,83.4,92.7,83.4 - 92.7,82.2-88.7,4,
Private Health Insurance Coverage,By State,Ohio,Ohio,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,78.5,73.2,83.2,73.2 - 83.2,77.3-82.1,3,
Private Health Insurance Coverage,By State,Oklahoma,Oklahoma,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,72.0,66.4,77.1,66.4 - 77.1,64.7-73.7,1,
Private Health Insurance Coverage,By State,Oregon,Oregon,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,76.4,72.1,80.2,72.1 - 80.2,73.8-77.2,2,
Private Health Insurance Coverage,By State,Pennsylvania,Pennsylvania,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,76.5,72.4,80.3,72.4 - 80.3,73.8-77.2,2,
Private Health Insurance Coverage,By State,Rhode Island,Rhode Island,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,78.1,70.8,84.4,70.8 - 84.4,77.3-82.1,3,
Private Health Insurance Coverage,By State,South Carolina,South Carolina,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,72.1,65.6,77.9,65.6 - 77.9,64.7-73.7,1,
Private Health Insurance Coverage,By State,South Dakota,South Dakota,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,85.3,78.3,90.8,78.3 - 90.8,82.2-88.7,4,
Private Health Insurance Coverage,By State,Tennessee,Tennessee,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,74.4,69.0,79.3,69.0 - 79.3,73.8-77.2,2,
Private Health Insurance Coverage,By State,Texas,Texas,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,74.5,70.2,78.4,70.2 - 78.4,73.8-77.2,2,
Private Health Insurance Coverage,By State,Utah,Utah,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,85.2,81.6,88.2,81.6 - 88.2,82.2-88.7,4,
Private Health Insurance Coverage,By State,Vermont,Vermont,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,73.3,63.2,81.9,63.2 - 81.9,64.7-73.7,1,
Private Health Insurance Coverage,By State,Virginia,Virginia,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,85.0,81.4,88.1,81.4 - 88.1,82.2-88.7,4,
Private Health Insurance Coverage,By State,Washington,Washington,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,80.9,78.0,83.6,78.0 - 83.6,77.3-82.1,3,
Private Health Insurance Coverage,By State,West Virginia,West Virginia,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,67.8,61.0,74.1,61.0 - 74.1,64.7-73.7,1,
Private Health Insurance Coverage,By State,Wisconsin,Wisconsin,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,80.7,76.6,84.4,76.6 - 84.4,77.3-82.1,3,
Private Health Insurance Coverage,By State,Wyoming,Wyoming,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,73.6,63.8,81.9,63.8 - 81.9,64.7-73.7,1,
Uninsured at the Time of Interview,National Estimate,United States,United States,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,11.9,11.3,12.5,11.3 - 12.5,,,
Uninsured at the Time of Interview,By Age,United States,18 - 24 years,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,14.4,11.1,18.1,11.1 - 18.1,,,
Uninsured at the Time of Interview,By Age,United States,25 - 34 years,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,17.3,15.4,19.4,15.4 - 19.4,,,
Uninsured at the Time of Interview,By Age,United States,35 - 44 years,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,13.6,12.0,15.4,12.0 - 15.4,,,
Uninsured at the Time of Interview,By Age,United States,45 - 64 years,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,7.7,6.9,8.5,6.9 - 8.5,,,
Uninsured at the Time of Interview,By Sex,United States,Male,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,13.7,12.7,14.8,12.7 - 14.8,,,
Uninsured at the Time of Interview,By Sex,United States,Female,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,10.1,9.3,10.9,9.3 - 10.9,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,23.5,20.9,26.3,20.9 - 26.3,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,8.0,7.3,8.7,7.3 - 8.7,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,16.4,13.7,19.4,13.7 - 19.4,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,7.4,5.3,10.1,5.3 - 10.1,,,
Uninsured at the Time of Interview,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,14.3,10.9,18.3,10.9 - 18.3,,,
Uninsured at the Time of Interview,By Education,United States,Less than a high school diploma,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,30.0,25.2,35.2,25.2 - 35.2,,,
Uninsured at the Time of Interview,By Education,United States,High school diploma or GED,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,18.0,16.4,19.8,16.4 - 19.8,,,
Uninsured at the Time of Interview,By Education,United States,Some college/Associate's degree,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,10.8,9.7,11.9,9.7 - 11.9,,,
Uninsured at the Time of Interview,By Education,United States,Bachelor's degree or higher,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,4.2,3.8,4.7,3.8 - 4.7,,,
Uninsured at the Time of Interview,By Disability status,United States,With disability,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,16.0,13.5,18.7,13.5 - 18.7,,,
Uninsured at the Time of Interview,By Disability status,United States,Without disability,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,11.1,10.4,11.9,10.4 - 11.9,,,
Uninsured at the Time of Interview,By State,Alabama,Alabama,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,9.9,5.3,16.4,5.3 - 16.4,9.6-12.7,3,
Uninsured at the Time of Interview,By State,Alaska,Alaska,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,12.4,8.0,18.2,8.0 - 18.2,9.6-12.7,3,
Uninsured at the Time of Interview,By State,Arizona,Arizona,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,11.6,8.7,15.2,8.7 - 15.2,9.6-12.7,3,
Uninsured at the Time of Interview,By State,Arkansas,Arkansas,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,11.8,7.4,17.4,7.4 - 17.4,9.6-12.7,3,
Uninsured at the Time of Interview,By State,California,California,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,11.7,9.3,14.4,9.3 - 14.4,9.6-12.7,3,
Uninsured at the Time of Interview,By State,Colorado,Colorado,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,13.7,10.1,18.1,10.1 - 18.1,12.8-26.1,4,
Uninsured at the Time of Interview,By State,Connecticut,Connecticut,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,6.4,3.7,10.1,3.7 - 10.1,2.5-6.8,1,
Uninsured at the Time of Interview,By State,Delaware,Delaware,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,8.9,4.6,15.4,4.6 - 15.4,6.9-9.5,2,
Uninsured at the Time of Interview,By State,District of Columbia,District of Columbia,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,,,,,Estimate not reliable.,-1,1
Uninsured at the Time of Interview,By State,Florida,Florida,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,17.9,14.2,22.0,14.2 - 22.0,12.8-26.1,4,
Uninsured at the Time of Interview,By State,Georgia,Georgia,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,15.5,11.2,20.6,11.2 - 20.6,12.8-26.1,4,
Uninsured at the Time of Interview,By State,Hawaii,Hawaii,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,,,,,Estimate not reliable.,-1,1
Uninsured at the Time of Interview,By State,Idaho,Idaho,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,11.5,7.8,16.1,7.8 - 16.1,9.6-12.7,3,
Uninsured at the Time of Interview,By State,Illinois,Illinois,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,8.5,5.5,12.5,5.5 - 12.5,6.9-9.5,2,
Uninsured at the Time of Interview,By State,Indiana,Indiana,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,9.0,5.7,13.4,5.7 - 13.4,6.9-9.5,2,
Uninsured at the Time of Interview,By State,Iowa,Iowa,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,6.2,3.1,11.0,3.1 - 11.0,2.5-6.8,1,
Uninsured at the Time of Interview,By State,Kansas,Kansas,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,13.6,7.6,21.9,7.6 - 21.9,12.8-26.1,4,
Uninsured at the Time of Interview,By State,Kentucky,Kentucky,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,9.6,5.4,15.5,5.4 - 15.5,9.6-12.7,3,
Uninsured at the Time of Interview,By State,Louisiana,Louisiana,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,14.5,8.1,23.3,8.1 - 23.3,12.8-26.1,4,
Uninsured at the Time of Interview,By State,Maine,Maine,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,7.2,3.5,12.8,3.5 - 12.8,6.9-9.5,2,
Uninsured at the Time of Interview,By State,Maryland,Maryland,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,8.7,5.4,13.0,5.4 - 13.0,6.9-9.5,2,
Uninsured at the Time of Interview,By State,Massachusetts,Massachusetts,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,4.3,2.2,7.5,2.2 - 7.5,2.5-6.8,1,
Uninsured at the Time of Interview,By State,Michigan,Michigan,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,7.5,4.8,11.2,4.8 - 11.2,6.9-9.5,2,
Uninsured at the Time of Interview,By State,Minnesota,Minnesota,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,5.6,3.3,8.7,3.3 - 8.7,2.5-6.8,1,
Uninsured at the Time of Interview,By State,Mississippi,Mississippi,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,22.6,15.3,31.4,15.3 - 31.4,12.8-26.1,4,
Uninsured at the Time of Interview,By State,Missouri,Missouri,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,10.5,7.0,14.9,7.0 - 14.9,9.6-12.7,3,
Uninsured at the Time of Interview,By State,Montana,Montana,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,6.7,3.3,12.0,3.3 - 12.0,2.5-6.8,1,
Uninsured at the Time of Interview,By State,Nebraska,Nebraska,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,6.8,3.8,11.1,3.8 - 11.1,2.5-6.8,1,
Uninsured at the Time of Interview,By State,Nevada,Nevada,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,10.4,7.3,14.1,7.3 - 14.1,9.6-12.7,3,
Uninsured at the Time of Interview,By State,New Hampshire,New Hampshire,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,,,,,Estimate not reliable.,-1,1
Uninsured at the Time of Interview,By State,New Jersey,New Jersey,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,7.4,4.7,10.9,4.7 - 10.9,6.9-9.5,2,
Uninsured at the Time of Interview,By State,New Mexico,New Mexico,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,11.0,8.1,14.5,8.1 - 14.5,9.6-12.7,3,
Uninsured at the Time of Interview,By State,New York,New York,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,5.9,3.6,8.9,3.6 - 8.9,2.5-6.8,1,
Uninsured at the Time of Interview,By State,North Carolina,North Carolina,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,12.8,7.5,19.9,7.5 - 19.9,12.8-26.1,4,
Uninsured at the Time of Interview,By State,North Dakota,North Dakota,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,,,,,Estimate not reliable.,-1,1
Uninsured at the Time of Interview,By State,Ohio,Ohio,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,6.8,4.2,10.3,4.2 - 10.3,2.5-6.8,1,
Uninsured at the Time of Interview,By State,Oklahoma,Oklahoma,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,16.4,11.6,22.4,11.6 - 22.4,12.8-26.1,4,
Uninsured at the Time of Interview,By State,Oregon,Oregon,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,9.5,6.8,12.8,6.8 - 12.8,6.9-9.5,2,
Uninsured at the Time of Interview,By State,Pennsylvania,Pennsylvania,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,5.7,3.6,8.3,3.6 - 8.3,2.5-6.8,1,
Uninsured at the Time of Interview,By State,Rhode Island,Rhode Island,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,,,,,Estimate not reliable.,-1,1
Uninsured at the Time of Interview,By State,South Carolina,South Carolina,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,12.7,8.5,18.0,8.5 - 18.0,9.6-12.7,3,
Uninsured at the Time of Interview,By State,South Dakota,South Dakota,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,14.3,7.9,23.1,7.9 - 23.1,12.8-26.1,4,
Uninsured at the Time of Interview,By State,Tennessee,Tennessee,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,14.7,10.8,19.4,10.8 - 19.4,12.8-26.1,4,
Uninsured at the Time of Interview,By State,Texas,Texas,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,26.1,21.9,30.6,21.9 - 30.6,12.8-26.1,4,
Uninsured at the Time of Interview,By State,Utah,Utah,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,8.5,6.1,11.5,6.1 - 11.5,6.9-9.5,2,
Uninsured at the Time of Interview,By State,Vermont,Vermont,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,2.5,1.2,4.6,1.2 - 4.6,2.5-6.8,1,
Uninsured at the Time of Interview,By State,Virginia,Virginia,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,12.7,9.0,17.2,9.0 - 17.2,9.6-12.7,3,
Uninsured at the Time of Interview,By State,Washington,Washington,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,7.3,5.5,9.4,5.5 - 9.4,6.9-9.5,2,
Uninsured at the Time of Interview,By State,West Virginia,West Virginia,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,17.5,11.3,25.3,11.3 - 25.3,12.8-26.1,4,
Uninsured at the Time of Interview,By State,Wisconsin,Wisconsin,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,6.1,3.8,9.3,3.8 - 9.3,2.5-6.8,1,
Uninsured at the Time of Interview,By State,Wyoming,Wyoming,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,12.6,6.0,22.4,6.0 - 22.4,9.6-12.7,3,
Public Health Insurance Coverage,National Estimate,United States,United States,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,22.1,21.3,22.8,21.3 - 22.8,,,
Public Health Insurance Coverage,By Age,United States,18 - 24 years,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,17.4,14.3,20.8,14.3 - 20.8,,,
Public Health Insurance Coverage,By Age,United States,25 - 34 years,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,20.7,18.8,22.6,18.8 - 22.6,,,
Public Health Insurance Coverage,By Age,United States,35 - 44 years,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,22.2,20.9,23.6,20.9 - 23.6,,,
Public Health Insurance Coverage,By Age,United States,45 - 64 years,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,23.5,22.3,24.7,22.3 - 24.7,,,
Public Health Insurance Coverage,By Sex,United States,Male,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,18.2,17.1,19.4,17.1 - 19.4,,,
Public Health Insurance Coverage,By Sex,United States,Female,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,25.7,24.8,26.7,24.8 - 26.7,,,
Public Health Insurance Coverage,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,24.3,22.2,26.5,22.2 - 26.5,,,
Public Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,19.6,18.8,20.4,18.8 - 20.4,,,
Public Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,33.0,30.0,36.2,30.0 - 36.2,,,
Public Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,18.1,15.3,21.2,15.3 - 21.2,,,
Public Health Insurance Coverage,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,26.2,22.6,29.9,22.6 - 29.9,,,
Public Health Insurance Coverage,By Education,United States,Less than a high school diploma,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,32.5,27.6,37.6,27.6 - 37.6,,,
Public Health Insurance Coverage,By Education,United States,High school diploma or GED,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,29.5,27.5,31.5,27.5 - 31.5,,,
Public Health Insurance Coverage,By Education,United States,Some college/Associate's degree,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,25.1,23.7,26.7,23.7 - 26.7,,,
Public Health Insurance Coverage,By Education,United States,Bachelor's degree or higher,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,11.2,10.6,11.9,10.6 - 11.9,,,
Public Health Insurance Coverage,By Disability status,United States,With disability,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,40.6,37.5,43.7,37.5 - 43.7,,,
Public Health Insurance Coverage,By Disability status,United States,Without disability,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,19.3,18.6,20.1,18.6 - 20.1,,,
Public Health Insurance Coverage,By State,Alabama,Alabama,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,27.0,20.7,34.1,20.7 - 34.1,26.5-39.3,4,
Public Health Insurance Coverage,By State,Alaska,Alaska,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,23.9,19.4,29.0,19.4 - 29.0,22.5-26.4,3,
Public Health Insurance Coverage,By State,Arizona,Arizona,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,23.9,19.2,29.1,19.2 - 29.1,22.5-26.4,3,
Public Health Insurance Coverage,By State,Arkansas,Arkansas,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,34.8,27.7,42.5,27.7 - 42.5,26.5-39.3,4,
Public Health Insurance Coverage,By State,California,California,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,26.8,23.8,29.9,23.8 - 29.9,26.5-39.3,4,
Public Health Insurance Coverage,By State,Colorado,Colorado,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,18.2,14.1,22.9,14.1 - 22.9,12.2-18.2,1,
Public Health Insurance Coverage,By State,Connecticut,Connecticut,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,28.9,23.4,34.8,23.4 - 34.8,26.5-39.3,4,
Public Health Insurance Coverage,By State,Delaware,Delaware,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,29.7,23.1,36.9,23.1 - 36.9,26.5-39.3,4,
Public Health Insurance Coverage,By State,District of Columbia,District of Columbia,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,22.4,16.0,30.0,16.0 - 30.0,18.3-22.4,2,
Public Health Insurance Coverage,By State,Florida,Florida,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,18.8,15.2,22.9,15.2 - 22.9,18.3-22.4,2,
Public Health Insurance Coverage,By State,Georgia,Georgia,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,18.6,14.0,24.1,14.0 - 24.1,18.3-22.4,2,
Public Health Insurance Coverage,By State,Hawaii,Hawaii,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,16.0,11.4,21.5,11.4 - 21.5,12.2-18.2,1,
Public Health Insurance Coverage,By State,Idaho,Idaho,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,24.9,20.3,30.0,20.3 - 30.0,22.5-26.4,3,
Public Health Insurance Coverage,By State,Illinois,Illinois,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,17.6,14.1,21.4,14.1 - 21.4,12.2-18.2,1,
Public Health Insurance Coverage,By State,Indiana,Indiana,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,26.7,22.3,31.3,22.3 - 31.3,26.5-39.3,4,
Public Health Insurance Coverage,By State,Iowa,Iowa,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,25.1,21.0,29.5,21.0 - 29.5,22.5-26.4,3,
Public Health Insurance Coverage,By State,Kansas,Kansas,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,14.4,10.9,18.5,10.9 - 18.5,12.2-18.2,1,
Public Health Insurance Coverage,By State,Kentucky,Kentucky,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,29.0,23.8,34.7,23.8 - 34.7,26.5-39.3,4,
Public Health Insurance Coverage,By State,Louisiana,Louisiana,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,28.8,22.9,35.3,22.9 - 35.3,26.5-39.3,4,
Public Health Insurance Coverage,By State,Maine,Maine,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,25.1,19.0,32.1,19.0 - 32.1,22.5-26.4,3,
Public Health Insurance Coverage,By State,Maryland,Maryland,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,24.0,20.2,28.2,20.2 - 28.2,22.5-26.4,3,
Public Health Insurance Coverage,By State,Massachusetts,Massachusetts,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,19.2,15.6,23.3,15.6 - 23.3,18.3-22.4,2,
Public Health Insurance Coverage,By State,Michigan,Michigan,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,25.7,22.0,29.8,22.0 - 29.8,22.5-26.4,3,
Public Health Insurance Coverage,By State,Minnesota,Minnesota,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,16.9,13.4,20.9,13.4 - 20.9,12.2-18.2,1,
Public Health Insurance Coverage,By State,Mississippi,Mississippi,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,21.7,15.3,29.4,15.3 - 29.4,18.3-22.4,2,
Public Health Insurance Coverage,By State,Missouri,Missouri,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,14.3,10.6,18.6,10.6 - 18.6,12.2-18.2,1,
Public Health Insurance Coverage,By State,Montana,Montana,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,23.6,15.7,33.1,15.7 - 33.1,22.5-26.4,3,
Public Health Insurance Coverage,By State,Nebraska,Nebraska,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,20.5,15.9,25.8,15.9 - 25.8,18.3-22.4,2,
Public Health Insurance Coverage,By State,Nevada,Nevada,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,22.2,17.3,27.8,17.3 - 27.8,18.3-22.4,2,
Public Health Insurance Coverage,By State,New Hampshire,New Hampshire,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,15.6,11.1,21.1,11.1 - 21.1,12.2-18.2,1,
Public Health Insurance Coverage,By State,New Jersey,New Jersey,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,16.2,13.0,19.7,13.0 - 19.7,12.2-18.2,1,
Public Health Insurance Coverage,By State,New Mexico,New Mexico,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,39.3,33.6,45.3,33.6 - 45.3,26.5-39.3,4,
Public Health Insurance Coverage,By State,New York,New York,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,31.6,26.2,37.3,26.2 - 37.3,26.5-39.3,4,
Public Health Insurance Coverage,By State,North Carolina,North Carolina,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,19.7,15.9,24.0,15.9 - 24.0,18.3-22.4,2,
Public Health Insurance Coverage,By State,North Dakota,North Dakota,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,14.1,8.9,21.0,8.9 - 21.0,12.2-18.2,1,
Public Health Insurance Coverage,By State,Ohio,Ohio,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,24.9,20.9,29.2,20.9 - 29.2,22.5-26.4,3,
Public Health Insurance Coverage,By State,Oklahoma,Oklahoma,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,22.0,17.8,26.6,17.8 - 26.6,18.3-22.4,2,
Public Health Insurance Coverage,By State,Oregon,Oregon,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,28.9,24.8,33.3,24.8 - 33.3,26.5-39.3,4,
Public Health Insurance Coverage,By State,Pennsylvania,Pennsylvania,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,23.1,19.0,27.7,19.0 - 27.7,22.5-26.4,3,
Public Health Insurance Coverage,By State,Rhode Island,Rhode Island,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,26.4,20.9,32.4,20.9 - 32.4,22.5-26.4,3,
